rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
7,-3,OLD,20259781,토이 스토리 5,2026-06-17,25988750,0.4,-47386990,-64.6,30122190660,2768,-5122,-64.9,2930322,150,162,2026-08-05,2026-08-09 10:17:34
8,-3,OLD,20259946,모아나,2026-07-08,19959260,0.3,-43592240,-68.6,10775454630,2325,-4539,-66.1,1016122,119,127,2026-08-05,2026-08-09 10:17:34
9,-3,OLD,20262902,다윗,2026-07-10,12720600,0.2,-15860600,-55.5,2634680790,1390,-1669,-54.6,270883,70,74,2026-08-05,2026-08-09 10:17:34
10,-2,OLD,20242402,눈동자,2026-06-24,2919650,0.0,-11032450,-79.1,15893842100,339,-1030,-75.2,1540572,29,34,2026-08-05,2026-08-09 10:17:34
1,0,OLD,20250654,오디세이,2026-08-05,2672173870,45.2,-464420370,-14.8,5838159110,246220,-46490,-15.9,541297,1660,4912,2026-08-06,2026-08-09 10:17:34
2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2367870110,40.1,-357536620,-13.1,48715250310,238064,-37117,-13.5,4647402,1694,5675,2026-08-06,2026-08-09 10:17:34
3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,386347380,6.5,-273238100,-41.4,1363938980,43768,-29397,-40.2,144343,801,1698,2026-08-06,2026-08-09 10:17:34
4,0,OLD,20233219,호프,2026-07-15,261930550,4.4,-29047620,-10.0,46031536410,27200,-2870,-9.5,4292976,688,1163,2026-08-06,2026-08-09 10:17:34
5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,38688200,0.7,-7334050,-15.9,7461933690,4646,-666,-12.5,748689,284,313,2026-08-06,2026-08-09 10:17:34
6,0,NEW,20255484,오케이 마담2,2026-08-12,40203000,0.7,40203000,100.0,71416000,4467,4467,100.0,7874,25,25,2026-08-06,2026-08-09 10:17:34
7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,33483050,0.6,-5541720,-14.2,377065150,3420,-712,-17.2,37698,78,143,2026-08-06,2026-08-09 10:17:34
